# NutriCoach - seed alimenti
# Fonte dei valori nutrizionali: tabelle di composizione degli alimenti CREA
# (ex-INRAN), valori per 100 g di parte edibile. I numeri di composizione sono
# di pubblico dominio; restano comunque arrotondamenti pratici.
#
# CONVENZIONE: tutti i valori sono per 100 g di alimento CRUDO / a peso secco
# (es. pasta cruda ~353 kcal/100g; cotta pesa ~2x con meno densita' calorica).
# Sbagliare questa convenzione raddoppia i totali del diario. Le porzioni sono
# etichettate di conseguenza: "80 g (pasta cruda)" significa pesata prima
# della cottura.
#
# Formato porzioni: "label1:grams1|label2:grams2" (separatore "|" tra porzioni,
# ":" fra etichetta e grammi). Le porzioni sono opzionali (campo vuoto ok).
#
name,category,kcal_100g,protein_100g,carbs_100g,fat_100g,fiber_100g,portions
Yogurt intero,latticini,66,3.8,4.3,3.9,,125 g (un vasetto):125
Yogurt magro,latticini,36,3.3,4.0,0.9,,125 g (un vasetto):125
Yogurt greco intero,latticini,115,6.5,3.6,8.5,,170 g (un vasetto):170
Yogurt greco 0%,latticini,57,10.3,3.6,0.2,,170 g (un vasetto):170
Ricotta vaccina,latticini,146,8.8,4.0,10.9,,80 g (porzione):80
Mozzarella di vacca,latticini,253,18.7,0.7,19.5,,100 g (una mozzarella piccola):100
Mozzarella di bufala,latticini,288,16.7,0.4,24.4,,100 g (una mozzarella piccola):100
Parmigiano Reggiano,latticini,392,33.5,0,28.4,,20 g (una scaglia abbondante):20
Grana Padano,latticini,398,33.0,0,28.0,,20 g (una scaglia):20
Pecorino romano,latticini,387,25.8,1.0,31.8,,20 g (una grattugiata):20
Stracchino,latticini,300,18.5,0.4,25.5,,50 g (porzione):50
Gorgonzola,latticini,330,19.1,0,28.5,,40 g (porzione piccola):40
Fontina,latticini,343,24.5,0,27.0,,50 g (porzione):50
Burro,oli e grassi,758,0.8,0.7,83.4,,10 g (un cucchiaino):10|20 g (porzione):20
Olio extravergine di oliva,oli e grassi,899,0,0,99.9,,10 g (un cucchiaio):10|5 g (un cucchiaino):5
Olio di semi di girasole,oli e grassi,899,0,0,99.9,,10 g (un cucchiaio):10
Margarina,oli e grassi,760,0.6,0.4,84.0,,10 g (un cucchiaino):10
Lardo,oli e grassi,891,0,0,99.0,,10 g (porzione):10
Mele,frutta,53,0.3,13.7,0,2.0,150 g (una mela media):150
Pere,frutta,58,0.3,15.5,0,3.8,150 g (una pera media):150
Banane,frutta,89,1.2,22.8,0.3,2.6,120 g (una banana media):120
Arance,frutta,47,1.0,11.8,0,2.0,150 g (un'arancia media):150
Mandarini,frutta,72,0.9,17.6,0.3,1.7,80 g (un mandarino):80
Limoni,frutta,29,0.5,9.0,0.3,2.8,80 g (un limone):80
Fragole,frutta,32,0.7,7.7,0.3,2.0,150 g (porzione):150
Ciliegie,frutta,63,1.1,16.0,0.2,2.1,150 g (porzione):150
Uva,frutta,67,0.5,15.6,0.1,1.5,150 g (porzione):150
Kiwi,frutta,61,1.4,14.7,0.5,3.0,100 g (un kiwi):100
Ananas,frutta,40,0.5,10.0,0.1,1.0,120 g (una fetta):120
Pesche,frutta,39,0.8,9.5,0.3,1.5,150 g (una pesca media):150
Albicocche,frutta,48,0.4,11.5,0.4,1.5,100 g (3-4 albicocche):100
Anguria,frutta,30,0.6,7.6,0.2,0.4,200 g (una fetta):200
Melone,frutta,33,0.8,8.0,0.2,1.0,200 g (una fetta):200
Pomodori,verdure,18,0.9,3.9,0.2,1.2,150 g (un pomodoro):150
Pomodori pelati in scatola,verdure,29,1.2,5.6,0.2,1.4,200 g (mezza scatola):200
Zucchine,verdure,17,1.3,3.1,0.3,1.2,200 g (due zucchine piccole):200
Melanzane,verdure,25,1.0,5.7,0.2,3.0,200 g (una melanzana piccola):200
Peperoni,verdure,31,1.0,7.3,0.3,2.1,150 g (un peperone):150
Carote,verdure,41,0.9,9.6,0.2,2.8,100 g (una carota):100
Patate,verdure,77,2.0,17.5,0.1,2.2,200 g (una patata media):200
Cipolle,verdure,40,1.1,9.3,0.1,1.7,100 g (una cipolla):100
Aglio,verdure,149,6.4,33.1,0.5,2.1,3 g (uno spicchio):3
Sedano,verdure,16,0.7,3.0,0.2,1.6,40 g (un gambo):40
Spinaci,verdure,31,3.4,2.9,0.7,1.9,150 g (porzione cruda):150
Bietola,verdure,17,1.4,2.9,0.1,1.6,200 g (porzione cruda):200
Lattuga,verdure,19,1.8,2.2,0.4,1.5,80 g (una porzione di insalata):80
Rucola,verdure,28,2.6,3.9,0.7,1.6,30 g (una porzione):30
Radicchio,verdure,13,1.4,1.6,0.1,3.0,80 g (porzione):80
Broccoli,verdure,27,3.0,2.4,0.4,3.1,200 g (porzione cruda):200
Cavolfiore,verdure,25,3.2,2.7,0.2,2.4,200 g (porzione cruda):200
Cavolo verza,verdure,27,2.1,4.6,0.1,3.1,200 g (porzione cruda):200
Cetrioli,verdure,14,0.7,1.8,0.2,0.8,150 g (un cetriolo):150
Fagiolini,verdure,18,2.1,2.4,0.1,2.9,200 g (porzione cruda):200
Finocchi,verdure,9,1.2,1.0,0.3,2.2,150 g (mezzo finocchio):150
Zucca,verdure,18,1.1,3.5,0.1,2.5,200 g (porzione cruda):200
Mandorle secche,frutta secca,603,22.0,4.6,55.3,12.7,25 g (una manciata):25
Noci secche,frutta secca,689,14.3,5.1,68.1,4.7,25 g (4-5 gherigli):25
Nocciole secche,frutta secca,655,13.8,6.1,64.1,8.1,25 g (una manciata):25
Pistacchi tostati,frutta secca,608,18.1,9.4,55.4,9.9,25 g (una manciata):25
Anacardi tostati,frutta secca,598,18.0,18.0,49.0,3.3,25 g (una manciata):25
Pinoli,frutta secca,640,31.9,4.5,50.3,6.0,15 g (una manciata):15
Semi di girasole,frutta secca,584,20.8,20.0,51.5,8.6,15 g (un cucchiaio):15
Zucchero bianco,dolci e zuccheri,392,0,99.5,0,,5 g (un cucchiaino):5|15 g (un cucchiaio):15
Miele,dolci e zuccheri,304,0.6,82.3,0,,15 g (un cucchiaio):15
Marmellata di frutta,dolci e zuccheri,222,0.6,58.0,0,,20 g (un cucchiaio):20
Cioccolato fondente 70%,dolci e zuccheri,545,7.8,45.9,38.4,10.9,25 g (un quadrotto):25
Cioccolato al latte,dolci e zuccheri,545,7.0,57.0,32.0,3.5,25 g (un quadrotto):25
Nutella,dolci e zuccheri,539,6.3,57.5,30.9,,15 g (un cucchiaio):15
Biscotti secchi,dolci e zuccheri,416,7.0,76.0,10.0,2.0,20 g (3 biscotti):20
Caffe' espresso,bevande,0,0,0,0,,30 ml (un caffe'):30
Birra chiara,bevande,34,0.2,3.5,0,,330 ml (una bottiglia):330
Vino rosso,bevande,75,0.2,2.0,0,,125 ml (un bicchiere):125
Vino bianco,bevande,70,0.1,1.0,0,,125 ml (un bicchiere):125
